asin,feature,description,also_buy,brand,also_view,main_cat,imageURLHighRes,imageURLHighRes_2,text
B001GXRQW0,Amazoncom Gift cards never expire and carry no fees Gift cards ship for free Single physical Amazoncom Gift card Gift card is attached to a folded greeting card and is packed in an individual x inch envelope Envelope is delivered sealed Add a personal message to the recipient with a free gift note Just click Show gift options during checkout when you add the Gift card to your Shopping Cart You will be prompted to add your message during Checkout For Amazoncom Gift card restrictions and use please read our Terms and Conditions below Sold by ACI Gift cards  Amazoncom Gift cards can only be used to purchase eligible goods and services on Amazoncom and certain related sites as provided in the Amazoncom Gift card Terms and Conditions To purchase a Gift card for Amazons website in another country please visit Amazonca Amazoncn Amazonfr Amazonde Amazonin Amazonit Amazonuk or Amazones Amazoncom Gift cards can only be used to purchase eligible goods and services on Amazoncom and certain related sites as provided in the Amazoncom Gift card Terms and Conditions To purchase a Gift card for Amazons website in another country please visit Amazonca Amazoncn Amazonfr Amazonde Amazonin Amazonit Amazonuk or Amazones,Amazoncom Gift Cards are the perfect way to give them exactly what theyre hoping foreven if you dont know what it is Amazoncom Gift Cards are redeemable for millions of items storewide and never ,[],Amazon,[],Gift Cards,"['https://images-na.ssl-images-amazon.com/images/I/317ZQtCvFzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fby%2BUjOJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31AOWcizYvL.jpg']","['https://images-na.ssl-images-amazon.com/images/I/317ZQtCvFzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fby%2BUjOJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31AOWcizYvL.jpg']",Amazoncom Gift cards never expire and carry no fees Gift cards ship for free Single physical Amazoncom Gift card Gift card is attached to a folded greeting card and is packed in an individual x inch envelope Envelope is delivered sealed Add a personal message to the recipient with a free gift note Just click Show gift options during checkout when you add the Gift card to your Shopping Cart You will be prompted to add your message during Checkout For Amazoncom Gift card restrictions and use please read our Terms and Conditions below Sold by ACI Gift cards  Amazoncom Gift cards can only be used to purchase eligible goods and services on Amazoncom and certain related sites as provided in the Amazoncom Gift card Terms and Conditions To purchase a Gift card for Amazons website in another country please visit Amazonca Amazoncn Amazonfr Amazonde Amazonin Amazonit Amazonuk or Amazones Amazoncom Gift cards can only be used to purchase eligible goods and services on Amazoncom and certain related sites as provided in the Amazoncom Gift card Terms and Conditions To purchase a Gift card for Amazons website in another country please visit Amazonca Amazoncn Amazonfr Amazonde Amazonin Amazonit Amazonuk or AmazonesAmazoncom Gift Cards are the perfect way to give them exactly what theyre hoping foreven if you dont know what it is Amazoncom Gift Cards are redeemable for millions of items storewide and never 
B001H53QE4,Contains  Gift Cards Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where available, Amazoncom Gift Cards are the perfect way to give them exactly what theyre hoping foreven if you dont know what it is Amazoncom Gift Cards are redeemable for millions of items storewide and never expire Box of  physical Amazoncom Gift Cards Each card is attached to a folded greeting card and is packed in an individual  x  inch unsealed envelope Also available to purchase as individual gift cards Check out our customized Email Print at Home and Mail gift card options Need a gift card in a hurry Buy an Amazoncom Gift Card at a store near you Amazoncom Gift Cards are a great way to motivate reward and appreciate your employees or customers Order large quantities of bulk cards or codes custom denominations and custom Gift Card messaging through the Amazoncom Corporate Gift Card Program Advertising the use of Amazoncom Gift Cards as an incentive or reward requires a Corporate Gift Card agreement Learn more See Amazoncom Gift Card  Terms and Conditions ,[],Amazon,"['B00JDQKFPC', 'B007EE5I6G', 'B00PGOMSU0', 'B005ESMJ02']",Gift Cards,"['https://images-na.ssl-images-amazon.com/images/I/31T%2BQmXRSBL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/317ZQtCvFzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fby%2BUjOJL.jpg']","['https://images-na.ssl-images-amazon.com/images/I/31T%2BQmXRSBL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/317ZQtCvFzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fby%2BUjOJL.jpg']",Contains  Gift Cards Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where available Amazoncom Gift Cards are the perfect way to give them exactly what theyre hoping foreven if you dont know what it is Amazoncom Gift Cards are redeemable for millions of items storewide and never expire Box of  physical Amazoncom Gift Cards Each card is attached to a folded greeting card and is packed in an individual  x  inch unsealed envelope Also available to purchase as individual gift cards Check out our customized Email Print at Home and Mail gift card options Need a gift card in a hurry Buy an Amazoncom Gift Card at a store near you Amazoncom Gift Cards are a great way to motivate reward and appreciate your employees or customers Order large quantities of bulk cards or codes custom denominations and custom Gift Card messaging through the Amazoncom Corporate Gift Card Program Advertising the use of Amazoncom Gift Cards as an incentive or reward requires a Corporate Gift Card agreement Learn more See Amazoncom Gift Card  Terms and Conditions 
B001H53QEO,Contains  Gift Cards Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where available, Amazoncom Gift Cards for Any Occasion    Amazoncom Gift Cards arrive inside a cardboard box ready to hand out to all your friends  Amazoncom Gift Cards are the perfect way to give them exactly what theyre hoping foreven if you dont know what it is Recipients can choose from millions of items storewide Amazoncom Gift Cards never expire so they can buy something immediately or wait for that sale of a  All Amazoncom Gift Cards ship with FREE OneDay shipping Select OneDay Shipping at Checkout See details at ,[],Amazon,[],Gift Cards,"['https://images-na.ssl-images-amazon.com/images/I/31AOWcizYvL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/317ZQtCvFzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41y0NUBr8BL.jpg']","['https://images-na.ssl-images-amazon.com/images/I/31AOWcizYvL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/317ZQtCvFzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41y0NUBr8BL.jpg']",Contains  Gift Cards Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where available Amazoncom Gift Cards for Any Occasion    Amazoncom Gift Cards arrive inside a cardboard box ready to hand out to all your friends  Amazoncom Gift Cards are the perfect way to give them exactly what theyre hoping foreven if you dont know what it is Recipients can choose from millions of items storewide Amazoncom Gift Cards never expire so they can buy something immediately or wait for that sale of a  All Amazoncom Gift Cards ship with FREE OneDay shipping Select OneDay Shipping at Checkout See details at 
B002BSHDJK, inch high by  inch long by  inch deep,Attractively keeps the wedding gift cards together at the reception Tulle used for accents sold ,[],Wilton,[],Amazon Home,['https://images-na.ssl-images-amazon.com/images/I/41azbt38OgL.jpg'],['https://images-na.ssl-images-amazon.com/images/I/41azbt38OgL.jpg'], inch high by  inch long by  inch deepAttractively keeps the wedding gift cards together at the reception Tulle used for accents sold 
B002MS7BPA,Premium greeting cards options are available Mail the gift card inside a personalized x inch greeting card which can added during Checkout Amazoncom Gift Cards cannot be used as a method of payment for this  Product cannot be shipped to freight forwarding  Can be redeemed In store and Online,Since  Starbucks Coffee Company has been committed to ethically sourcing and roasting the highest quality arabica coffee in the world Today with stores around the globe the company is the premier roaster and retailer of specialty coffee in the world To share in the experience please visit us in our stores or online at ,[],Starbucks,[],Gift Cards,['https://images-na.ssl-images-amazon.com/images/I/31-XTJaPytL.jpg'],['https://images-na.ssl-images-amazon.com/images/I/31-XTJaPytL.jpg'],Premium greeting cards options are available Mail the gift card inside a personalized x inch greeting card which can added during Checkout Amazoncom Gift Cards cannot be used as a method of payment for this  Product cannot be shipped to freight forwarding  Can be redeemed In store and OnlineSince  Starbucks Coffee Company has been committed to ethically sourcing and roasting the highest quality arabica coffee in the world Today with stores around the globe the company is the premier roaster and retailer of specialty coffee in the world To share in the experience please visit us in our stores or online at 
B003ZYIKDM,,Finding the perfect gift for everyone on your list can be a challenge but our assortment of gift card holders makes giving the ever popular and universally pleasing gift card a breeze the assortment pack gives you a selection of designs to match the personality for every recipient on your list assortment includes  of each design gingerbread mania with glitter and tipons penguins got a pocket with spot glossed accents foil stamped snowman spots and a special tweet featuring flocking and glitter all cards are inches x inches have a pocket to hold a gift card and an envelope holiday gift giving has never been so easythe gift wrap company is the oldest established gift wrap manufacturer in the usa having commenced business in  the company began making leather postcards which were popular at the time and then added looms to weave ribbon some ten years later they began manufacturing gift wrap one of the most interesting products that the company has manufactured was metalized polyester that was used as heat resistant material in astronauts spacesuits during the apollo space missions after several changes in ownership the original company was purchased in  by the leading gift wrap manufacturer in the united kingdom international greetings which also manufactures gift wrap greeting cards gift tags and other related products the company celebrated its th anniversary in  if you are looking for the best wrapping paper gift bags tissue ribbons bow and any other packaging for the gift that you took time to select for a recipient whom you care about youve come to the right place quality packaging for quality gifts for quality friends and ,[],The Gift Wrap Company,[],Health & Personal Care,['https://images-na.ssl-images-amazon.com/images/I/51DxjjI9bzL.jpg'],['https://images-na.ssl-images-amazon.com/images/I/51DxjjI9bzL.jpg'],Finding the perfect gift for everyone on your list can be a challenge but our assortment of gift card holders makes giving the ever popular and universally pleasing gift card a breeze the assortment pack gives you a selection of designs to match the personality for every recipient on your list assortment includes  of each design gingerbread mania with glitter and tipons penguins got a pocket with spot glossed accents foil stamped snowman spots and a special tweet featuring flocking and glitter all cards are inches x inches have a pocket to hold a gift card and an envelope holiday gift giving has never been so easythe gift wrap company is the oldest established gift wrap manufacturer in the usa having commenced business in  the company began making leather postcards which were popular at the time and then added looms to weave ribbon some ten years later they began manufacturing gift wrap one of the most interesting products that the company has manufactured was metalized polyester that was used as heat resistant material in astronauts spacesuits during the apollo space missions after several changes in ownership the original company was purchased in  by the leading gift wrap manufacturer in the united kingdom international greetings which also manufactures gift wrap greeting cards gift tags and other related products the company celebrated its th anniversary in  if you are looking for the best wrapping paper gift bags tissue ribbons bow and any other packaging for the gift that you took time to select for a recipient whom you care about youve come to the right place quality packaging for quality gifts for quality friends and 
B004Q7CK9M,Gift Card is affixed inside a blank greeting card with a separate mailing envelope Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where available,Amazoncom Gift Cards are the perfect way to give them exactly what theyre hoping for  even if you dont know what it is Amazoncom Gift Cards are redeemable for millions of items across Amazoncom Item delivered is a single physical Amazoncom Gift Card Gift card is attached to a folded blank greeting card and is packed in an individual  x  inch envelope Envelope is delivered sealed An additional  x  inch unsealed envelope is also ,['B005ESMF5G'],Amazon,"['B005ESMF5G', 'B005ESMJ02', 'B007EE5I6G', 'B00X4RERY6']",Gift Cards,"['https://images-na.ssl-images-amazon.com/images/I/41kheYoPznL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/414ERoFr49L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31HD31Ks9eL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417-xORGnpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41-%2BzBsOwhL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EEzY%2BN9CL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21kxkA5nuWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Y8YYU6-aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/2119896EfKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21eDUMo4Z6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51nCgYppWpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51JGOeyrykL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SOX%2BYXRDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41YLr4QVLeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jjj-4vGsL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51g5hgD481L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/518R9SOx4CL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51F-j1cjumL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/215bQSzimRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21AiHJxBPHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21ryD8L5O4L.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41kheYoPznL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/414ERoFr49L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31HD31Ks9eL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417-xORGnpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41-%2BzBsOwhL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EEzY%2BN9CL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21kxkA5nuWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Y8YYU6-aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/2119896EfKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21eDUMo4Z6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51nCgYppWpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51JGOeyrykL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SOX%2BYXRDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41YLr4QVLeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jjj-4vGsL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51g5hgD481L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/518R9SOx4CL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51F-j1cjumL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/215bQSzimRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21AiHJxBPHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21ryD8L5O4L.jpg']",Gift Card is affixed inside a blank greeting card with a separate mailing envelope Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where availableAmazoncom Gift Cards are the perfect way to give them exactly what theyre hoping for  even if you dont know what it is Amazoncom Gift Cards are redeemable for millions of items across Amazoncom Item delivered is a single physical Amazoncom Gift Card Gift card is attached to a folded blank greeting card and is packed in an individual  x  inch envelope Envelope is delivered sealed An additional  x  inch unsealed envelope is also 
B005DHN6E2,Gift Card is affixed inside a blank greeting card with a separate mailing envelope Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where available,Amazoncom Gift Cards are the perfect way to give them exactly what theyre hoping for  even if you dont know what it is Amazoncom Gift Cards are redeemable for millions of items across Amazoncom Item delivered is a single physical Amazoncom Gift Card Gift card is attached to a folded blank greeting card and is packed in an individual  x  inch envelope Envelope is delivered sealed An additional  x  inch unsealed envelope is also ,[],Amazon,"['B005ESMF5G', 'B007EE5I6G', 'B005ESMJ02']",Gift Cards,"['https://images-na.ssl-images-amazon.com/images/I/41tYPMR2iAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41cCXBLn9UL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41iCpgL3iCL.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41tYPMR2iAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41cCXBLn9UL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41iCpgL3iCL.jpg']",Gift Card is affixed inside a blank greeting card with a separate mailing envelope Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where availableAmazoncom Gift Cards are the perfect way to give them exactly what theyre hoping for  even if you dont know what it is Amazoncom Gift Cards are redeemable for millions of items across Amazoncom Item delivered is a single physical Amazoncom Gift Card Gift card is attached to a folded blank greeting card and is packed in an individual  x  inch envelope Envelope is delivered sealed An additional  x  inch unsealed envelope is also 
B005ESMF5G,Gift Card is nested inside a specialty gift box Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where available,Amazoncom Gift Cards are the perfect way to give them exactly what theyre hoping for  even if you dont know what it is Amazoncom Gift Cards are redeemable for millions of items across Amazoncom Item delivered is a single physical Amazoncom Gift Card nested inside a tin Gift ,"['B00IGYPALG', 'B00CXZPG0O', 'B00GOLGWVK', 'B00910XGTM', 'B00AS527QW', 'B00BXLTSS0', 'B00BXLTM0E', 'B00O3YJD4S']",Amazon,"['B00JDQKFPC', 'B005ESMJ02', 'B007EE5I6G']",Gift Cards,"['https://images-na.ssl-images-amazon.com/images/I/41d3tky%2B2iL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41dkjERuHUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ohNB%2BQhkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41OKG4M89kL.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41d3tky%2B2iL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41dkjERuHUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ohNB%2BQhkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41OKG4M89kL.jpg']",Gift Card is nested inside a specialty gift box Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where availableAmazoncom Gift Cards are the perfect way to give them exactly what theyre hoping for  even if you dont know what it is Amazoncom Gift Cards are redeemable for millions of items across Amazoncom Item delivered is a single physical Amazoncom Gift Card nested inside a tin Gift 
B005ESMFP6,Contains  Gift Cards Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where available,Amazon Gift Cards are the perfect way to give someone exactly what theyre hoping for Recipients can choose from millions of items storewide Amazon Gift Cards never expire so they can buy something immediately or wait for that sale of a ,"['B00FTJI60I', 'B00FTGFAF0', 'B00FTGSKL6', 'B00ET5WASC', 'B00FTGESM6', 'B005ESMF5G', 'B00EEHVIBK', 'B007EE5I6G', 'B00CXZPG0O', 'B00FTGSBBA', 'B00G08KW2C', 'B00GOLGWVK', 'B00IGYPALG', 'B00DNAGTIQ', 'B00BXLT3VC']",Amazon,"['B007EE5I6G', 'B005ESMF5G', 'B00FTJI60I', 'B005ESMJ02', 'B00FTGSKL6', 'B00FTGESM6']",Gift Cards,"['https://images-na.ssl-images-amazon.com/images/I/41N4d8Jc4KL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41VKFT60PjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41uChxtHH1L.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41N4d8Jc4KL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41VKFT60PjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41uChxtHH1L.jpg']",Contains  Gift Cards Gift Card has no fees and no expiration date No returns and no refunds on Gift Cards Gift Card is redeemable towards millions of items storewide at  Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App Free OneDay Shipping where availableAmazon Gift Cards are the perfect way to give someone exactly what theyre hoping for Recipients can choose from millions of items storewide Amazon Gift Cards never expire so they can buy something immediately or wait for that sale of a 
