reviewerID,reviewText
A106C6N4TNFMU7,Idk
A10AJ99X38J3KR,Perfect gift for the nephews
A10CO9BKCI4IAM,perfect way to send a distance
A10DGE3VFBGPOV,Arrived the next day
A10E09CMTCFKWL,Got a  Amazon gift card for Christmas  Redeemed it on an order of  and got  from the gift card  Where did the other  go  Tried to use it on subsequent orders to no avail
A10IFNRULJDM6R,Cute design but appropriate for a young mansomething hard to find
A10O9VP1GJZPW8,It was my pick for thanks giving
A10P28P0MO5V3O,The gift card came on time and was packaged carefully It was covered with a plastic wrap outside so the card was not scratched or damaged during transport The gift looked pretty nice too
A11GUZ87K0O091,Nice gift box
A11KTOXMTC7SB1,Came in good condition
A11RAPB8S7UPAD,Easy present Perfect just what our Grandson wanted easy purchase
A1210SO6H3NKWU,This gift card was charged to my bankcard but it was never sent to me I was charged for this item on my credit card but I never received the gift card
A121I41O3PSL5A,Simple and satisfying way to shop
A123VFBL1JRA2A,Parents love this place
A126OO6QB06IPH,only had one issue the link would not activate the card but called again and got a new link and all was fixed love as always
A12FFRX4V095MZ,Love it and the gift card arrives quickly
A12FUSV9RDTAG8,"a datahookproductlinklinked classalinknormal hrefAmazoncomGiftCardsInaGiftBoxFreeOneDayShippingdpBSZESrefcmcrarpdrvwtxtieUTFAmazoncom Gift Cards  In a Gift Box  Free OneDay Shippinga

I received this for a gift on my birthday I was surprised The box and bow were a nice touch and made something so simple more personalized especially since amazon allows you to send a note with your gift items which is great When in doubt this is a nice gift to get what they really love and it comes in a cute little box "
A12I4MI6H4W8DF,This is a terrific way to give a little necessities gift and it ensures it is used at Safeway or Vons  just where you wanted it to They get it in minutes and use the email at the checkout Great job Amazon
A12JA7CBULFZNZ,Two out of the three gift cards that I gave as Christmas gifts arrived with zero balances It was very difficult just to find the customer service phone number and I had to make two phone calls and talk to two different service reps to get the issue resolved
A12UR3MLOWOMDX,My card was hacked so my card has no money on it Apparently Cracker Barrel could tell it was hacked by someone in Cleveland Would like a new card provided that can be ensured to have the full amount on it
A12W3ZTLZC8184,Perfect for the movie lover
A1327YLR27ZCRQ,These wee stocking stuffers and the kids loved them
A133KSJQQXU9CL,Fats and easy transaction
A138L5S2OGB697,Great package for the Gift Cards  A nice XMas touch for giving out the Amazon Gift Cards Who wouldnt use an Amazon Gift Card
A13B6FTZRB8TSH,was happy with this
A13FQQP9O45BFY,always easy for last minute presents and know they will arrive when they say they will
A13FX46137GPAN,How do you activate the physical gift card as soon as you get it
A13RQ9OW3NJ6G4,Very convenient way to shop I got the GC discounted and paired it whether some coupons SCORE
A1425UODD83JOR,When we dont know what to buy for Christmas we give Amazon gift cards and they are always appreciated
A14B01XG5Z9Y88,A bit impersonal some would say  but the recipient loved it
A14CG6RN8MRT20,I was very impressed with the nice looking tin the gift card came in And the recipient loved it of course Cant really go wrong with an Amazon gift card
A14IZA2TJYJ6NK,Easy peazy and I got them right away
A14KMMYTQC0R64,I used it for my birthday dinner
A14LG1Y0L8H5XZ,It say eve
A14N4H7QAAZ6I8,You can always find a use for an Amazon gift card
A14NTFPVG67MYJ,It contained  worth of credit for Burger King Yay I mean I ordered this as a gift She got  worth of Netflix No complaints Great gift for the person in your life that you like enough to get a gift or for office Secret Santa but dont know well enough to get a more personal gift It contained  worth of credit for Applebees Yay
A14U90VLL3LKY3,Nice gift for any occasion
A151GSTDXD8TAB,The tin was a hit and so was the gift card inside The tin can be turned into an ornamenthow cute she loved the gift card He liked the neat tin and the card inside Perfect when you dont what to get someone
A157ECQGAV9JQZ,Little confused why it didnt come with a tassel on the graduation cap box like in the picture Looks a lil dumb without it Other than that gift card is fine
A157NT9Z5W9WID,what can I say
A158B3P7SYRQCX,I sent this to my Aunt for her birthday  She loves the food and atmosphere at Ninety Nine Restaurant  When she called me she was estatic due to the packaging from Amazon and Ninety Nine  She said it was beautiful and it really added to the gift  We originally called the Ninety Nine thinking they could get it there quicker  They quoted  days  Ordered it Prime from Amazon and  days later she had it  Thx
A1592JSH6NGVJX,I know the description of the card says Gift amount may not be printed on Gift Cards Well on the cards I ordered it wasnt This makes no sense to me These are gift cards Shouldnt the recipient know how much the card is worth rather than it be a surprise as the envelope says I know the amount can be written on the card that the gift cards are attached to Its just not the same especially when the recipient is a kid The gift card is the present not the card its in I know the description of the card says Gift amount may not be printed on Gift Cards Well on the cards I ordered it wasnt This makes no sense to me These are gift cards Shouldnt the recipient know how much the card is worth rather than it be a surprise as the envelope says I know the amount can be written on the card Its just not the same especially when the recipient is a kid The gift card is the present not the card its in
A15D20COSM0ET3,It say as expected
A15IYWOS3RIYM2,A gift card box And white I cant believe they want a review on this
A15KJQWKMOZH19,the person I sent the card two said at the store did not know how to use card and thy dont except she had to call customer service
A15P8S591DCRP4,You cant go wrong with these gift cards especially with free shipping and no tax Cant go wrong with these gift cards and free shipping
A1600S7YTFFTPH,Thank you so much for getting this gift card to me in time for our Christmas celebration on New Years Day My husband loved it and we already used it when we went to dinner with his parents and grandma Thank you and God bless you
A167GLHVTNDGK4,Gift Cards are always the right size and shape
A1693QRJUO2BMW,Very pretty arrived fast and was ready to gift
A16C6KT3CJ96O,Really enjoy using or giving this card as a gift Recently used one I had in Hawaii surprising my guestsof course I had to add  to the bill  left a  tip for the wonderful service Love this store and the gift card is perfect to get a treat therespecial cheeses breads and wine Made my nephew very happy n his birthday H loved it
A16CFYT876LKN2,get this quickly
A16DFAYK3Q93TF,This is the th time weve gifted Regal Entertainment movie gift cards which area always enjoyed by the whole family
A16ELPS338JB7C,I ordered this gift card for a friend for Christmas It arrived in one day which was fantastic and was ready to go The card was in the box I requested complete with a bow and it was ready to go All I had to do was remove it from the shipping envelop and hand it to my friend It was wonderful Ill be buying many more gift cards in the future and will recommend them to everyone
A16LONC97639UT,My  year old son loves this bear He hugs it all the time and goes to sleep with it Very soft and cute great quality as expected from Gund
A16M5E8HK4V1JV,Great gift  Arrived in perfect time
A16NWNP149G82A,Absolutely awesome  Arrived on time
